10, 10,
50, 16,
86, 30,
115, 17,
130, 28,
175, 18,
185, 29,
234, 15,
266, 27,
314, 12,
316, 31,
362, 20,
388, 34,
420, 20,
444, 33,
470, 16,
482, 29,
501, 11,
518, 26,
153, 20,
209, 18,
291, 14,
339, 21,
27, 35,
16, 54,
31, 77,
34, 67,
17, 110,
27, 134,
35, 112,
30, 154,
6, 164,
23, 192,
36, 184,
36, 233,
10, 240,
20, 279,
51, 251,
43, 285,
28, 319,
45, 351,
18, 363,
23, 402,
25, 428,
11, 442,
8, 464,
38, 46,
43, 209,
41, 460,
50, 473,
69, 451,
90, 469,
104, 451,
111, 462,
123, 469,
146, 454,
169, 441,
186, 468,
213, 445,
224, 469,
255, 459,
269, 436,
295, 460,
304, 479,
338, 463,
342, 444,
380, 464,
391, 447,
405, 472,
426, 456,
438, 469,
449, 447,
473, 450,
478, 469,
497, 446,
512, 468,
365, 445
